Name,Population,Region,Province,Captial,Latitude,Longitude,Number of Activities
Ambatondrazaka,47649,Alaotra-Mangoro,Toamasina,Adm2,-17.8237084,48.4267188,11
Ambositra,41078,Amoron'i Mania,Fianarantsoa,Adm2,-20.5328149,47.2450521,39
Ambovombe-Androy,114230,Androy,Toliara,Adm2,-25.1781,46.0892,32
Antananarivo,1275207,Analamanga,Antananarivo,Adm0,-18.9100122,47.5255809,54
Antsirabe,245592,Vakinankaratra,Antananarivo,Adm2,-19.871403,47.034667,46
Antsiranana,131165,Diana,Antsiranana,Adm1,-12.2841,49.2943,29
Antsohihy,38253,Sofia,Mahajanga,Adm2,-14.8775272,47.98715,72
Farafangana,34676,Atsimo-Atsinanana,Fianarantsoa,Adm2,-22.8217524,47.8307127,65
Fenoarivo Atsinanana,41734,Analanjirofo,Toamasina,Adm2,-17.382029,49.4099733,40
Fianarantsoa,189879,Haute Matsiatra,Fianarantsoa,Adm1,-21.4563,47.0851,48
Fort Dauphin,67284,Anosy,Toliara,Adm2,-25.031,46.9928,13
Ihosy,283047,Ihorombe,Fianarantsoa,Adm2,-22.403183,46.1289903,46
Maevatanana,25928,Betsiboka,Mahajanga,Adm2,-16.9497038,46.828337,7
Mahajanga,244722,Boeny,Mahajanga,Adm1,-15.7181492,46.3172577,7
Maintirano,25788,Melaky,Mahajanga,Adm2,-18.0608947,44.023951,42
Manakara,44237,Fitovinany,Fianarantsoa,Adm2,-22.1449564,48.0113527,27
Mananjary,25222,Vatovavy,Fianarantsoa,Adm2,-21.2385393,48.3463035,58
Miarinarivo ,13109,Itasy,Antananarivo,Adm2,-18.956006,46.906709,39
Morondava,53510,Menabe,Toliara,Adm2,-20.2951102,44.2786121,62
Sambava,84039,Sava,Antsiranana,Adm2,-14.254956,50.1556533,11
Toamasina,326286,Atsinanana,Toamasina,Adm1,-18.1553985,49.4098352,10
Toliara,169760,Atsimo-Andrefana,Toliara,Adm1,-23.354173,43.66966,44
Tsiroanomandidy,44461,Bongolava,Antananarivo,Adm2,-18.7698412,46.0495226,6
